CCLF File,CCLF Claim Field Label,Claim Field Name,Claim Field Description,FHIR R3 - Mapping,FHIR R3 Additional Info,FHIR R3 - See Also,Data Type,CCW SHORT SAS NAME,CCW LONG SAS NAME
CCLF1,CUR_CLM_UNIQ_ID,Current Claim Unique Identifier,A unique identification number assigned to the claim.,Not mapped,The values displayed for Current Claim Unique Identifier in CCLF files are unique to CCLF. There is no direct mapping of CUR_CLM_UNIQ_ID (CCLF) to FHIR ,,CHAR,CLM_ID,CLM_ID
CCLF1,PRVDR_OSCAR_NUM,Provider OSCAR Number,"A facility’s Medicare/Medicaid identification number. It is also known as a Medicare/Medicaid Provider Number, or CCN. This number verifies that a provider has been Medicare certified for a particular type of service.","Eob.provider.identifier.value
","identifier.system = ""https://bluebutton.cms.gov/resources/variables/prvdr_num""",,CHAR,PROVIDER,PRVDR_NUM
CCLF1,BENE_MBI_ID,Medicare Beneficiary Identifier,A Medicare Beneficiary Identifier assigned to a beneficiary.,"Patient.identifier[N].value

","Discriminator =  Patient.identifier[N].system = ""http://hl7.org/fhir/sid/us-mbi"" and Patient.extension[N].valueCoding.code = ""current""



Eob.patient.reference provides logical reference to the corresponding Patient resource (e.g. /Patient/123).  The identifer in the reference (e.g. ""123"") maps to Patient.id

","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,,
CCLF1,BENE_HIC_NUM,Beneficiary HIC Number,"A beneficiary identifier. The HICN that appears in this field is the beneficiary’s current HICN, not necessarily the HICN that was used to process the claim.",Not mapped,HICN is not provided,,CHAR,N/A,N/A
CCLF1,CLM_TYPE_CD,Claim Type Code,Signifies the type of claim being submitted through the Medicare or Medicaid programs. ,"Eob.type.coding[N].code
","Discriminator =  type.coding.system = ""https://bluebutton.cms.gov/resources/variables/nch_clm_type_cd""
OR
""https://bluebutton.cms.gov/resources/codesystem/eob-type""
OR
http://hl7.org/fhir/ex-claimtype



type.coding.display = {corresponding description from valueset specified in .system}","See https://bluebutton.cms.gov/resources/codesystem/eob-type/

For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,CLM_TYPE,NCH_CLM_TYPE_CD
CCLF1,CLM_FROM_DT,Claim From Date,"The first day on the billing statement that covers services rendered to the beneficiary. AKA ""Statement Covers From Date.""",Eob.billablePeriod.start,,,DATE,FROM_DT,CLM_FROM_DT
CCLF1,CLM_THRU_DT,Claim Thru Date,"The last day on the billing statement that covers services rendered to the beneficiary. AKA ""Statement Covers Through Date.""",Eob.billablePeriod.end,,,DATE,THRU_DT,CLM_THRU_DT
CCLF1,CLM_BILL_FAC_TYPE_CD,Claim Bill Facility Type Code,"The first digit of the type of bill (TOB1) is used to identify the type of facility that provided care to the beneficiary (e.g., hospital or SNF). ","Eob.facility.extension[N].valueCoding.code
","Discriminator =  Eob.facility.extension[N].url = ""https://bluebutton.cms.gov/resources/variables/clm_fac_type_cd""



valueCoding.sytem = ""https://bluebutton.cms.gov/resources/variables/clm_fac_type_cd""

valueCoding.display = {corresponding description from valueset specified in .system}

Extension definition can be found at: ""https://bluebutton.cms.gov/assets/ig/StructureDefinition-bluebutton-snf-clm-fac-type-cd-extension.html""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",CHAR,FAC_TYPE,CLM_FAC_TYPE_CD
CCLF1,CLM_BILL_CLSFCTN_CD,Claim Bill Classification Code,"The second digit of the type of bill (TOB2) is used to indicate with greater specificity where the service was provided (e.g., a department within a hospital). ","Eob.type.coding[N].code
","Discriminator =  type.coding.system = ""https://bluebutton.cms.gov/resources/variables/clm_srvc_clsfctn_type_cd""


","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,TYPESRVC,CLM_SRVC_CLSFCTN_TYPE_CD
CCLF1,PRNCPL_DGNS_CD,Principal Diagnosis Code,The ICD-9/10 diagnosis code identifies the beneficiary’s principal illness or disability.,Eob.diagnosis[N].diagnosisCodeableConcept.coding[X].code,"Discriminator =  Eob.diagnosis[N].type.coding.code = ""principal""

When DGNS_PRCDR_ICD_IND=""9"", coding[X].system = ""http://hl7.org/fhir/sid/icd-9-cm""

When DGNS_PRCDR_ICD_IND=""0"", coding[X].system = ""http://hl7.org/fhir/sid/icd-10-cm""

When DGNS_PRCDR_ICD_IND=""U"", coding[X].system = ""https://bluebutton.cms.gov/resources/codesystem/diagnosis-type"" 

","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,PRNCPAL_DGNS_CD,PRNCPAL_DGNS_CD
CCLF1,ADMTG_DGNS_CD,Admitting Diagnosis Code,The ICD-9/10 diagnosis code identifies the illness or disability for which the beneficiary was admitted.,Eob.diagnosis[N].diagnosisCodeableConcept.coding[X].code,"Discriminator =  Eob.diagnosis[N].type.coding.code = ""admitting""



When DGNS_PRCDR_ICD_IND=""9"", coding[X].code.system = ""http://hl7.org/fhir/sid/icd-9-cm""

When DGNS_PRCDR_ICD_IND=""0"", coding[X].code.system = ""http://hl7.org/fhir/sid/icd-10-cm""

When DGNS_PRCDR_ICD_IND=""U"", coding[X].system = ""https://bluebutton.cms.gov/resources/codesystem/diagnosis-type"" 

","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,ADMTG_DGNS_CD,ADMTG_DGNS_CD
CCLF1,CLM_MDCR_NPMT_RSN_CD,Claim Medicare Non-Payment Reason Code,Indicates the reason payment on an institutional claim is denied. ,Eob.extension[N].valueCoding.code,"Discriminator =  extension.url  = ""https://bluebutton.cms.gov/resources/variables/clm_mdcr_non_pmt_rsn_cd""

extension[N].valueCoding.system=""https://bluebutton.cms.gov/resources/variables/clm_mdcr_non_pmt_rsn_cd""

 Eob.entry[N].extension[N].valueCoding.display = {corresponding description from valueset specified in .system}

Extension definition can be found at ""https://bluebutton.cms.gov/assets/ig/StructureDefinition-bluebutton-snf-clm-mdcr-non-pmt-rsn-cd-extension.html""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",CHAR,NOPAY_CD,CLM_MDCR_NON_PMT_RSN_CD
CCLF1,CLM_PMT_AMT,Claim Payment Amount,Amount that Medicare paid on the claim.,Eob.payment.amount.value,"Eob.payment.amount.system=""urn:iso:std:iso:4217""

Eob.payment.amount.code=""USD""",,NUM,PMT_AMT,CLM_PMT_AMT
CCLF1,CLM_NCH_PRMRY_PYR_CD,Claim NCH Primary Payer Code,"If a payer other than Medicare has primary responsibility for payment of the beneficiary’s health insurance bills, this code indicates the responsible primary payer. If this field is blank, Medicare is the primary payer for the beneficiary.","Eob.information[N].code.coding.code
","Discriminator =  Eob.information[N].code.coding.system = ""https://bluebutton.cms.gov/resources/variables/nch_prmry_pyr_cd/""



Eob.information[N].code.coding.display = {corresponding description from valueset specified in .system}

Eob.information[N].category.coding.code= ""https://bluebutton.cms.gov/resources/variables/nch_prmry_pyr_cd/""

Eob.information[N].category.coding.system= ""https://bluebutton.cms.gov/resources/variables/nch_prmry_pyr_cd/""

Eob.information[N].category.coding.display=""Claim NCH Primary Payer Code""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,PRPAY_CD,NCH_PRMRY_PYR_CD
CCLF1,PRVDR_FAC_FIPS_ST_CD,Federal Information Processing Standards (FIPS) State Code,Identifies the state where the facility providing services is located.,"Eob.item[N].locationAddress.state
",,,CHAR,PRSTATE,PRVDR_STATE_CD
CCLF1,BENE_PTNT_STUS_CD,Beneficiary Patient Status Code,"Indicates the patient's discharge status as of the Claim Through Date. For example, it may indicate where a patient was discharged to (e.g., home, another facility) or the circumstances of a discharge (e.g., against medical advice, or patient death).",Eob.information[N].code.coding.code,"Discriminator =  Eob.information[N].code.coding.system = ""https://bluebutton.cms.gov/resources/variables/ptnt_dschrg_stus_cd""



Eob.information[N].code.coding.display = {corresponding description from valueset specified in .system}

Eob.information[N].category.coding.code = ""https://bluebutton.cms.gov/resources/variables/ptnt_dschrg_stus_cd""

Eob.information[N].category.coding.system = ""https://bluebutton.cms.gov/resources/codesystem/information""

Eob.information[N].category.coding.display = ""Patient Discharge Status Code""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,STUS_CD,PTNT_DSCHRG_STUS_CD
CCLF1,DGNS_DRG_CD,Diagnosis Related Group Code,Indicates the diagnostic related group to which a hospital claim belongs for prospective payment purposes.,Eob.diagnosis[N].packageCode.coding.value,"Discriminator =  Eob.diagnosis[N].packageCode.coding.system = ""https://bluebutton.cms.gov/resources/variables/clm_drg_cd""


","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,DRG_CD,CLM_DRG_CD
CCLF1,CLM_OP_SRVC_TYPE_CD,Claim Outpatient Service Type Code,"A code reported by the provider that indicates the specific type of claim (Inpatient, Outpatient, etc.).","Eob.type.coding[N].code
","Discriminator =  Eob.type.coding[N].system = ""https://bluebutton.cms.gov/resources/variables/nch_clm_type_cd""

Note that the code reported in CCLF (1=inpatient, 2=SNF, 3=outpatient, etc) does not appear here.  Instead, the equivalent codes from the valueset specified in .system can be used.  See https://bluebutton.cms.gov/resources/variables/nch_clm_type_cd for the code listing


","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,,"NCH_CLM_TYPE_CD, CLM_SRVC_CLSFCTN_TYPE_CD"
CCLF1,FAC_PRVDR_NPI_NUM,Facility Provider NPI Number,Identifies the facility associated with the claim. Each facility is assigned its own unique NPI.,Eob.facility.identifier.value,"Eob.facility.identifier.system = ""http://hl7.org/fhir/sid/us-npi""",,NUM,ORGNPINM,ORG_NPI_NUM
CCLF1,OPRTG_PRVDR_NPI_NUM,Operating Provider NPI Number,Identifies the operating provider associated with the claim. Each provider is assigned its own unique NPI.,Eob.careTeam[N].provider.identifier.value,"Discriminator =  
Eob.careTeam[N].role.coding.code=""assist""

Eob.careTeam[N].role.coding.system = ""http://hl7.org/fhir/claimcareteamrole""

Eob.careTeam[N].provider.identifier.system = ""http://hl7.org/fhir/sid/us-npi""

Eob.careTeam[N].role.coding.display = ""Assisting Provider""

","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,OP_NPI,OP_PHYSN_NPI
CCLF1,ATNDG_PRVDR_NPI_NUM,Attending Provider NPI Number,Identifies the attending provider associated with the claim. Each provider is assigned its own unique NPI.,Eob.careTeam[N].provider.identifier.value,"Discriminator =  
Eob.careTeam[N].role.coding.code=""attending""



Eob.careTeam[N].provider.identifier.system = ""http://hl7.org/fhir/sid/us-npi""

Eob.careTeam[N].role.coding.display = ""Attending Provider""

Eob.careTeam[N].role.coding.system = ""http://hl7.org/fhir/claimcareteamrole""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,AT_NPI,AT_PHYSN_NPI
CCLF1,OTHR_PRVDR_NPI_NUM,Other Provider NPI Number,Identifies the other providers associated with the claim. Each provider is assigned its own unique NPI.,Eob.careTeam[N].provider.identifier.value,"Discriminator =  
Eob.careTeam[N].role.coding.code=""other""



Eob.careTeam[N].provider.identifier.system = ""http://hl7.org/fhir/sid/us-npi""

Eob.careTeam[N].role.coding.display = ""Other Provider""

Eob.careTeam[N].role.coding.system = ""http://hl7.org/fhir/claimcareteamrole""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,OT_NPI,OT_PHYSN_NPI
CCLF1,CLM_ADJSMT_TYPE_CD,Claim Adjustment Type Code,"Indicates whether the claim is an original, cancelation, or adjustment claim. ",Eob.status,,,CHAR,N/A,N/A
CCLF1,CLM_EFCTV_DT,Claim Effective Date,Date the claim was processed and added to the NCH. Also referred to as the NCH Weekly Processing Date.,Eob.information[N].timingDate,"Discriminator =  information[N].category.coding.code = ""https://bluebutton.cms.gov/resources/variables/nch_wkly_proc_dt/""

.information[a].category.coding[a].system = https://bluebutton.cms.gov/resources/codesystem/information","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",DATE,WKLY_DT,NCH_WKLY_PROC_DT
CCLF1,CLM_IDR_LD_DT,Claim IDR Load Date,When the claim was loaded into the IDR.,Not mapped,,,DATE,N/A,N/A
CCLF1,BENE_EQTBL_BIC_HICN_NUM,Beneficiary Equitable BIC HICN Number,"This number is an “umbrella” HICN that groups certain HICNs together at the beneficiary level. For example, if a beneficiary’s spouse becomes widowed, the HICN will change, but the Beneficiary Equitable BIC HICN will not. This groups the pre- and post-widow status HICNs together. Note that the ONLY use of this field is to link together claims that all represent the same event, using the natural key.",Not mapped,HICN is not provided,,CHAR,N/A,N/A
CCLF1,CLM_ADMSN_TYPE_CD,Claim Admission Type Code,Indicates the type and priority of inpatient services,"Eob.information[N].code.coding.code
","Discriminator =  Eob.information[N].code.coding.system = ""https://bluebutton.cms.gov/resources/variables/clm_ip_admsn_type_cd""

Eob.information[N].code.coding.display = {corresponding description from valueset specified in .system}

Eob.information[N].category.coding.code = ""https://bluebutton.cms.gov/resources/variables/clm_ip_admsn_type_cd""

Eob.information[N].category.coding.system = ""https://bluebutton.cms.gov/resources/codesystem/information""
 Eob.information[N].category.coding.display = ""Claim Inpatient Admission Type Code""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,TYPE_ADM,CLM_IP_ADMSN_TYPE_CD
CCLF1,CLM_ADMSN_SRC_CD,Claim Admission Source Code,"Indicates the source of the beneficiary's referral for admission or visit (e.g., a physician or another facility).",Eob.information[N].code.coding.code,"Discriminator =  Eob.information[N].code.coding.system = ""https://bluebutton.cms.gov/resources/variables/clm_src_ip_admsn_cd""

Eob.information[N].code.coding.display = {corresponding description from valueset specified in .system}

Eob.information[N].category.coding.code=""https://bluebutton.cms.gov/resources/variables/clm_src_ip_admsn_cd"" 
 
Eob.information[N].category.coding.system=""https://bluebutton.cms.gov/resources/codesystem/information""

Eob.information[N].category.coding.display=""Claim Admission Source Code""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,SRC_ADMS,CLM_SRC_IP_ADMSN_CD
CCLF1,CLM_BILL_FREQ_CD,Claim Bill Frequency Code,"The third digit of the type of bill (TOB3) code. It indicates the sequence of the claim in the beneficiary's current episode of care (e.g., interim or voided).",Eob.information[N].code.coding.code,"Discriminator =   Eob.information[N].code.coding.system = ""https://bluebutton.cms.gov/resources/variables/clm_freq_cd""

Eob.information[N].code.coding.display = {corresponding description from valueset specified in .system}

Eob.information[N].category.coding.code = ""https://bluebutton.cms.gov/resources/variables/clm_freq_cd""

Eob.information[N].category.coding.system = ""https://bluebutton.cms.gov/resources/codesystem/information""

Eob.information[N].category.coding.display = ""Claim Bill Frequency Code""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,FREQ_CD,CLM_FREQ_CD
CCLF1,CLM_QUERY_CD,Claim Query Code,"Indicates the type of claim record being processed with respect to payment (e.g., debit/credit indicator or interim/final indicator).", Eob.billablePeriod.extension[1].valueCoding.code,"Extension cardinality is 1..1

Eob.billablePeriod.extension[1].url = ""https://bluebutton.cms.gov/resources/variables/claim_query_cd""

Eob.billablePeriod.extension[N].valueCoding.display = {corresponding description from valueset specified in .system}

Eob.billablePeriod.extension[N].valueCoding.system = ""https://bluebutton.cms.gov/resources/variables/claim_query_cd""

Extension definition can be found at: https://bluebutton.cms.gov/assets/ig/StructureDefinition-bluebutton-inpatient-claim-query-cd-extension.html","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",CHAR,QUERY_CD,CLAIM_QUERY_CODE
CCLF1,DGNS_PRCDR_ICD_IND,ICD Version Indicator,"9=ICD-9; 0=ICD-10, U=any value other than 9 or 0 in the source data",Eob.diagnosis[N].diagnosisCodeableConcept.coding[X].system,"When DGNS_PRCDR_ICD_IND=""9"", coding[X].system = ""http://hl7.org/fhir/sid/icd-9-cm""

When DGNS_PRCDR_ICD_IND=""0"", coding[X].system = ""http://hl7.org/fhir/sid/icd-10-cm""

When DGNS_PRCDR_ICD_IND=""U"", coding[X].system = ""https://bluebutton.cms.gov/resources/codesystem/diagnosis-type"" 

",,,ICD_DGNS_VRSN_CD1,ICD_DGNS_VRSN_CD1
CCLF1,CLM_MDCR_INSTNL_TOT_CHRG_AMT,Total Claim Charge Amount,"Effective with NCH Version G, the total charges for all services included on the institutional claim. This field is redundant with revenue center code 0001/total charges.",Eob.totalCost.value,"Eob.totalCost.system = ""urn:iso:std:iso:4217"" 
Eob.totalCost.code = ""USD""",,NUM,TOT_CHRG,CLM_TOT_CHRG_AMT
CCLF1,CLM_MDCR_IP_PPS_CPTL_IME_AMT,Claim Capital Indirect Medical Education Amount,The amount of the indirect medical education (IME) (reimbursable amount for teaching hospitals only; an added amount passed by Congress to augment normal Prospective Payment System [PPS] payments for teaching hospitals to compensate them for higher patient costs resulting from medical education programs for interns and residents) portion of the PPS payment for capital. Note: Applicable for claim type = 60 and total calculated based on debit credit methodology.,"Eob.extension[N].valueMoney.value

","Discriminator =  Eob.extension[N].url = ""https://bluebutton.cms.gov/resources/variables/clm_pps_cptl_ime_amt""

Eob.resource.extension[N].valueMoney.code = ""USD""
 Eob.resource.extension[N].valueMoney.system = ""urn:iso:std:iso:4217""

Extension definition can be found at: https://bluebutton.cms.gov/assets/ig/StructureDefinition-bluebutton-snf-clm-pps-cptl-ime-amt-extension.html
","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",NUM,IME_AMT,CLM_PPS_CPTL_IME_AMT
CCLF1,CLM_OPRTNL_IME_AMT,Claim Operational Indirect Medical Education Amount,The indirect medical education amount applicable to the bill.  Note: Applicable for claim type = 60 and total calculated based on debit credit methodology.,"Eob.extension[N].valueMoney.value

","Discriminator =  Eob.extension[N].url = ""https://bluebutton.cms.gov/resources/variables/ime_op_clm_val_amt""

Eob.resource.extension[N].valueMoney.code = ""USD""
 Eob.resource.extension[N].valueMoney.system = ""urn:iso:std:iso:4217""

Extension definition can be found at:
https://bluebutton.cms.gov/assets/ig/StructureDefinition-bluebutton-inpatient-ime-op-clm-val-amt-extension.html
","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",NUM,IME_OP,IME_OP_CLM_VAL_AMT
CCLF1,CLM_MDCR_IP_PPS_DSPRPRTNT_AMT,Claim Capital Disproportionate Amount,"Effective 3/2/92, the amount of disproportionate share (rate reflecting indigent population served) portion of the PPS payment for capital. Note: Applicable for claim type = 60 and total calculated based on debit credit methodology.",Eob.extension[N].valueMoney.value,"Discriminator =  Eob.extension[N].url = ""https://bluebutton.cms.gov/resources/variables/clm_pps_cptl_dsprprtnt_shr_amt""

Eob.extension[N].valueMoney.code=""USD""
 Eob.extension[N].valueMoney.system=""urn:iso:std:iso:4217""


","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",NUM,DISP_SHR,CLM_PPS_CPTL_DSPRPRTNT_SHR_AMT
CCLF1,CLM_HIPPS_UNCOMPD_CARE_AMT,Claim Health Insurance Prospective Payment System Uncompensated Care Amount,"This is a payment for DSH hospitals as part of Section 3133 of ACA. It represents the uncompensated care amount of the payment. Note: Applicable for claim types = (10, 20, 30, 40, 50, 60) and total calculated based on debit credit methodology.",Eob.extension[N].valueMoney.value,"Discriminator =  Eob.extension[N].url = ""https://bluebutton.cms.gov/resources/variables/clm_uncompd_care_pmt_amt""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",NUM,CLM_UNCOMPD_CARE_PMT_AMT,CLM_UNCOMPD_CARE_PMT_AMT
CCLF1,CLM_OPRTNL_DSPRTNT_AMT,Claim Operational disproportionate Amount,The disproportionate share amount applicable to the bill. Use the amount provided by the disproportionate share field in PRICER.  Note: Applicable for claim type = 60 and total calculated based on debit credit methodology.,Eob.extension[N].valueMoney.value,"Discriminator =  Eob.extension[N].url = ""https://bluebutton.cms.gov/resources/variables/dsh_op_clm_val_amt/""

Eob.extension[N].valueMoney.code=""USD""
 Eob.extension[N].valueMoney.system=""urn:iso:std:iso:4217""

Extension definition can be found at: https://bluebutton.cms.gov/assets/ig/StructureDefinition-bluebutton-inpatient-dsh-op-clm-val-amt-extension.html
","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",NUM,DSH_OP,DSH_OP_CLM_VAL_AMT
,,,,,,,,,
CCLF2,CUR_CLM_UNIQ_ID,Current Claim Unique Identifier,A unique identification number assigned to the claim.,"Not mapped
",The values displayed for Current Claim Unique Identifier in CCLF files are unique to CCLF. There is no direct mapping of CUR_CLM_UNIQ_ID (CCLF) to FHIR ,,CHAR,CLM_ID,CLM_ID
CCLF2,CLM_LINE_NUM,Claim Line Number,A sequential number that identifies a specific claim line.,Eob.item.sequence,,,NUM,CLM_LN,CLM_LINE_NUM
CCLF2,BENE_MBI_ID,Medicare Beneficiary Identifier,A Medicare Beneficiary Identifier assigned to a beneficiary.,Patient.identifier[N].value,"Discriminator =  Patient.identifier[N].system = ""http://hl7.org/fhir/sid/us-mbi"" and Patient.extension[N].valueCoding.code = ""current""

Eob.patient.reference provides logical reference to corresponding Patient resource e.g. /Patient/123.  

","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,BENE_ID1,BENE_ID
CCLF2,BENE_HIC_NUM,Beneficiary HIC Number,"A beneficiary identifier. The HICN that appears in this field is the beneficiary’s current HICN, not necessarily the HICN that was used to process the claim.",Not mapped,HICN is no longer provided,,CHAR,N/A,N/A
